SKU,Number of products sold,Lead times,Price,Stock levels,Costs,EOQ,Safety Stock,Forecasted Demand,Total Order Quantity,Inventory Cost
SKU0,802,7,69.80800554,58,187.7520755,48.16637831516918,0.5185672569686598,802.0,116,462.8866999441073
SKU1,736,30,14.84352328,53,503.0655791,46.04345773288535,1.0735362127101256,736.0,106,433.15588702454767
SKU2,8,10,11.31968329,1,141.9202818,6.324555320336759,0.6198064213930025,515.3333333333334,2,30.45971188196291
SKU3,83,13,61.16334302,23,254.7761592,30.331501776206203,0.7066880499909419,275.6666666666667,46,225.77149319759081
SKU4,871,3,4.805496036,5,923.4406317,14.142135623730951,0.3394819582834999,320.6666666666667,10,76.6974097914175
SKU5,147,27,1.699976014,90,235.4612367,60.0,1.0184458748504999,367.0,180,667.2242637302168
SKU6,65,15,4.078332863,11,134.3690969,20.97617696340303,0.7591047358566537,361.0,22,132.9575085502399
SKU7,426,17,42.95838438,93,802.0563118,60.991802727907626,0.8081287026210615,212.66666666666666,186,684.6792300415835
SKU8,150,10,68.71759675,5,505.5571342,14.142135623730951,0.6198064213930025,213.66666666666666,10,78.09903210696501
SKU9,980,27,64.01573294,14,995.9294615,23.664319132398465,1.0184458748504999,518.6666666666666,28,158.75823202766006
SKU10,996,13,15.70779568,51,806.1031777,45.16635916254486,0.7066880499909419,708.6666666666666,102,418.22063447666784
SKU11,960,23,90.63545998,46,126.7230334,42.89522117905443,0.939982978569293,978.6666666666666,92,386.35742377387743
SKU12,336,30,71.21338908,100,402.9687891,63.245553203367585,1.0735362127101256,764.0,200,728.9744788135296
SKU13,249,8,16.16039332,80,547.2410052,56.568542494923804,0.5543717164502533,515.0,160,602.7718585822513
SKU14,562,29,99.17132864,54,929.23529,46.475800154489,1.0554923021983629,382.3333333333333,108,439.5942287625416
SKU15,469,8,36.98924493,9,127.8618,18.973665961010276,0.5543717164502533,426.6666666666667,18,114.85389790724496
SKU16,280,5,7.54717211,2,865.5257798,8.94427190999916,0.4382693235899588,437.0,4,43.814123219633586
SKU17,126,17,81.46253437,45,670.9343908,42.42640687119285,0.8081287026210615,291.6666666666667,90,379.0406435131053
SKU18,620,10,36.44362777,10,593.4802587,20.0,0.6198064213930025,342.0,20,123.80971022561975
SKU19,187,11,51.12387009,48,477.3076311,43.81780460041329,0.6500584589096584,311.0,96,398.169626142845
SKU20,320,12,96.34107244,27,493.8712153,32.863353450309965,0.6789639165669998,375.6666666666667,54,254.5843199690575
SKU21,601,25,84.89386898,69,523.3609147,52.53570214625479,0.98,369.3333333333333,138,535.6417562100671
SKU22,884,1,27.67978089,71,205.5719958,53.291650377896914,0.196,601.6666666666666,142,544.3944368141676
SKU23,391,5,4.324341186,84,196.3294461,57.96550698475775,0.4382693235899588,625.3333333333334,168,627.1303619371417
SKU24,209,26,4.156308359,4,758.7247726,12.649110640673518,0.9994078246641858,494.6666666666667,8,69.71839867331673
